도서번호,제목,저자,출판사,분야,발행(출시)일자
S00001,혼모노,성해나,창비,소설,20250328
S00002,안녕이라 그랬어,김애란,문학동네,소설,20250620
S00003,"첫 여름, 완주",김금희,무제(MUZE),소설,20250508
S00004,청춘의 독서(특별증보판),유시민,웅진지식하우스,인문,20250422
S00005,우리의 낙원에서 만나자,하태완,북로망스,시/에세이,20250521
S00006,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,이투스북,인문,20241224
S00007,모순,양귀자,쓰다,소설,20130401
S00008,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(하)",최태성,이투스북,인문,20241224
S00009,세계 경제 지각 변동,박종훈,글로퍼스,경제/경영,20250627
S00010,경험의 멸종,크리스틴 로젠,어크로스,인문,20250520
S00011,고전이 답했다: 마땅히 가져야 할 부에 대하여,고명환,라곰,자기계발,20250702
S00012,단 한 번의 삶,김영하,복복서가,시/에세이,20250406
S00013,소년이 온다,한강,창비,소설,20140519
S00014,왓츠 유어 드림,사이먼 스큅,북파머스,자기계발,20250604
S00015,초역 부처의 말,코이케 류노스케,포레스트북스,인문,20240530
S00016,토막 난 우주를 안고서,김초엽 외,허블,소설,20250618
S00017,쓰는 인간: 종이에 기록한 사유와 창조의 역사,롤런드 앨런,상상스퀘어,역사/문화,20250625
S00018,오역하는 말들,황석희,북다,시/에세이,20250530
S00019,프로젝트 헤일메리,앤디 위어,알에이치코리아,소설,20210504
S00020,여름은 고작 계절,김서해,위즈덤하우스,소설,20250625
S00021,어른의 행복은 조용하다,태수,페이지2북스,시/에세이,20241104
S00022,원피스 111: 엘바프 모험,EIICHIRO ODA,대원씨아이,만화,20250630
S00023,박곰희 연금 부자 수업,박곰희,인플루엔셜,경제/경영,20250625
S00024,궤도,서맨사 하비,서해문집,소설,20250620
S00025,행동은 불안을 이긴다,롭 다이얼,서삼독,자기계발,20250416
S00026,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,인문,20241224
S00027,여름어 사전,아침달 편집부,아침달,시/에세이,20250618
S00028,위버멘쉬,프리드리히 니체,떠오름(RISE),인문,20250314
S00029,스토너,존 윌리엄스,알에이치코리아,소설,20150102
S00030,결국 마음먹은 대로 된다,나폴레온 힐,지니의서재,자기계발,20250715
S00031,작별하지 않는다,한강,문학동네,소설,20210909
S00032,장미와 나이프,히가시노 게이고,반타,소설,20250616
S00033,내가 원하는 것을 나도 모를 때,전승환,북로망스,인문,20250115
S00034,너무 늦은 시간,클레어 키건,다산책방,소설,20250703
S00035,마침내 특이점이 시작된다,레이 커즈와일,비즈니스북스,과학,20250613
S00036,기억을 비울수록 뇌가 산다,이와다테 야스오,이든서재,자기계발,20250707
S00037,나는 소망한다 내게 금지된 것을,양귀자,쓰다,소설,20190420
S00038,워런 버핏 웨이,로버트 해그스트롬,상상스퀘어,경제/경영,20250521
S00039,산 루이스 레이의 다리(신형철해제본),손턴 와일더,클레이하우스,소설,20250502
S00040,급류,정대건,민음사,소설,20221222
S00041,홍학의 자리,정해연,엘릭시르,소설,20210726
S00042,제철 행복,김신지,인플루엔셜,시/에세이,20240425
S00043,행복하지 않아서 뇌를 바꾸려고 합니다,손정헌,더페이지,자기계발,20250707
S00044,"아무튼, 여름",김신회,제철소,시/에세이,20250701
S00045,위대한 개츠비,F. 스콧 피츠제럴드,펭귄랜덤하우스코리아,소설,20250530
S00046,어떻게 살 만한 세상을 만들 것인가: 흔들리는 세계의 질서 편,노엄 촘스키 외,알토북스,인문,20250710
S00047,빛과 실,한강,문학과지성사,시/에세이,20250418
S00048,이기적 유전자,리처드 도킨스,을유문화사,과학,20230130
S00049,이 지랄맞음이 쌓여 축제가 되겠지(리커버:K),조승리,달,시/에세이,20240329
S00050,코스모스,칼 세이건,사이언스북스,과학,20100120
S00051,나는 0원으로 강남 건물주보다 월세 많이 받는 온라인 건물주로 산다,알파남(김지수),타이탄북스,경제/경영,20250626
S00052,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,시/에세이,20240729
S00053,행복 강박,올리버 버크먼,북플레저,인문,20250702
S00054,단 한 줄만 내 마음에 새긴다고 해도,나민애,포레스트북스,인문,20250611
S00055,듀얼 브레인,이선 몰릭,상상스퀘어,자기계발,20250319
S00056,내게 남은 스물다섯 번의 계절,슈테판 셰퍼,서삼독,소설,20250516
S00057,욕을 먹어도 신경 쓰지 않는 사고방식,호리 모토코,파인북,자기계발,20250715
S00058,치유의 빛,강화길,은행나무,소설,20250611
S00059,료의 생각 없는 생각,료,열림원,시/에세이,20250616
S00060,브랜드 창업 마스터,이종구,마스터클라스,경제/경영,20250613
S00061,소설 보다: 여름 2025,김지연 외,문학과지성사,소설,20250610
S00062,제16회 젊은작가상 수상작품집(2025),백온유 외,문학동네,소설,20250402
S00063,싯다르타,헤르만 헤세,민음사,소설,20020120
S00064,미치도록 보고 싶었던 돈의 얼굴,EBS 돈의 얼굴 제작진 외,영진닷컴,경제/경영,20250705
S00065,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,인문,20250611
S00066,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,자기계발,20191007
S00067,너를 찾는 파도 3(특별판),청연,다산코믹스(DASAN COMICS),만화,20250704
S00068,부자의 기술,박승영 외,티더블유아이지,경제/경영,20250630
S00069,인생을 바꾸는 최고의 ETF,잼투리,거인의정원,경제/경영,20250627
S00070,사랑과 멸종을 바꿔 읽어보십시오,유선혜,문학과지성사,시/에세이,20241028
S00071,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라(리커버 에디션),쇼펜하우어,하이스트,인문,20240220
S00072,먹어 보면 알지: 호랑수박의 전설,이지은,웅진주니어,유아(0~7세),20250715
S00073,이재명 자서전 그 꿈이 있어 여기까지 왔다,이재명,아시아,정치/사회,20250609
S00074,초역 부처의 말 필사집,코이케 류노스케,포레스트북스,인문,20250319
S00075,이지패스 2025 ADsP 데이터분석 준전문가,전용문 외,위키북스,컴퓨터/IT,20250107
S00076,마음의 기술,안-엘렌 클레르 외,상상스퀘어,인문,20241118
S00077,메리골드 마음 식물원,윤정은,북로망스,소설,20250618
S00078,열혈강호 93,전극진,대원씨아이,만화,20250616
S00079,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디,상상스퀘어,자기계발,20240925
S00080,너무나 많은 여름이,김연수,레제,소설,20230626
S00081,리스크테이커,네이트 실버,더퀘스트,경제/경영,20250710
S00082,여름 피치 스파클링,차정은,다이브,시/에세이,20250604
S00083,귀신들의 땅,천쓰홍,민음사,소설,20231229
S00084,드디어 만나는 해부학 수업,케빈 랭포드,현대지성,과학,20250630
S00085,2026 시나공 컴퓨터활용능력 2급 필기 기본서,길벗알앤디,길벗,컴퓨터/IT,20250616
S00086,인생을 바꾸는 이메일 쓰기,이슬아,이야기장수,시/에세이,20250612
S00087,월든,헨리 데이비드 소로,펭귄랜덤하우스코리아,시/에세이,20250530
S00088,"혹시, 돈 얘기해도 될까요?",주언규,필름(Feelm),시/에세이,20250528
S00089,단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬),리더스북,경제/경영,20250324
S00090,돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,경제/경영,20231106
S00091,내가 본 미래(완전판),타츠키 료,도토리,만화,20231031
S00092,생각의 주도권을 디자인하라,박용후,경이로움,자기계발,20250702
S00093,넥서스,유발 하라리,김영사,인문,20241011
S00094,채식주의자,한강,창비,소설,20220328
S00095,먼저 온 미래,장강명,동아시아,인문,20250626
S00096,파과,구병모,위즈덤하우스,소설,20180416
S00097,달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,문학사상,시/에세이,20161215
S00098,청와대 사람들,강승지,페이지2북스,시/에세이,20250709
S00099,결핍은 우리를 어떻게 변화시키는가,센딜 멀레이너선 외,빌리버튼,경제/경영,20250327
S00100,샤워젤과 소다수,고선경,문학동네,시/에세이,20231019
S00101,결혼ㆍ여름,알베르 카뮈,녹색광선,시/에세이,20230804
S00102,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,소설,20180620
S00103,버진 수어사이드,제프리 유제니디스,민음사,소설,20250207
S00104,여름,이디스 워튼,민음사,소설,20200814
S00105,돈의 속성(400쇄 리커버에디션),김승호,스노우폭스북스,경제/경영,20200615
S00106,데미안,헤르만 헤세,민음사,소설,20090120
S00107,반딧불이의 혼례 7,Oreco TACHIBANA,서울미디어코믹스(서울문화사),만화,20250630
S00108,김혜순 죽음 트릴로지,김혜순,문학과지성사,시/에세이,20250618
S00109,빅 사이클,레이 달리오,한빛비즈,경제/경영,20250603
S00110,2025 ADsP 데이터분석 준전문가,윤종식,데이터에듀,컴퓨터/IT,20250418
S00111,토마토 컵라면(스페셜 에디션),차정은,부크크(Bookk),시/에세이,20240408
S00112,물질의 세계,에드 콘웨이,인플루엔셜,인문,20240308
S00113,총 균 쇠,재레드 다이아몬드,김영사,역사/문화,20230511
S00114,너라는 브랜드를 마케팅하라,이소라,클랩북스,자기계발,20250720
S00115,기자의 글쓰기: 실전편 싸움의 기술(도서 + 강연),박종인,와이즈맵,인문,20250620
S00116,"다시, 몸으로",김초엽 외,래빗홀,소설,20250611
S00117,일억 번째 여름,청예,창비,소설,20250516
S00118,부의 전략 수업,폴 포돌스키,필름(Feelm),경제/경영,20250507
S00119,오렌지,Wendy Cope,윌마,시/에세이,20250416
S00120,2025 시대에듀 한국실용글쓰기 실제 기출로 끝내기,이원근 외,시대고시기획,인문,20250410
S00121,구의 증명(리커버판),최진영,은행나무,소설,20230426
S00122,두고 온 여름,성해나,창비,소설,20230317
S00123,앵무새 죽이기(리커버판),하퍼 리,열린책들,소설,20150630
S00124,한 권으로 끝내는 절세 배당 은퇴 공식,김제림,매일경제신문사,경제/경영,20250704
S00125,부의 심리학,김경일,포레스트북스,인문,20250618
S00126,밤새들의 도시,김주혜,다산책방,소설,20250613
S00127,인생의 연금술,이하영,웅진지식하우스,자기계발,20250528
S00128,고래눈이 내리다,김보영,래빗홀,소설,20250519
S00129,예술 도둑(리커버:K),마이클 핀클,생각의힘,시/에세이,20240920
S00130,마침내 멸망하는 여름(스페셜 에디션),정,부크크(Bookk),시/에세이,20240603
S00131,작은 땅의 야수들(리커버 무선판),김주혜,다산책방,소설,20230619
S00132,대한민국 최상급지 사다리 갈아타기,임실장,페이지2북스,경제/경영,20250707
S00133,유쾌한 워터멜론,차정은,부크크(Bookk),시/에세이,20250701
S00134,스파이 패밀리 15,Tatsuya Endo,학산문화사,만화,20250624
S00135,누구도 대신 살아 주지 않는다,브라이언 트레이시,오픈도어북스,자기계발,20250611
S00136,싯다르타,헤르만 헤세,민음사,소설,20250610
S00137,결국 국민이 합니다,이재명,오마이북,정치/사회,20250415
S00138,흰,한강,문학동네,소설,20250331
S00139,어른의 품격을 채우는 100일 필사 노트,김종원,청림라이프,자기계발,20250305
S00140,이방인,알베르 카뮈,민음사,소설,20190902
S00141,자본주의,EBS 자본주의 제작팀,가나출판사,경제/경영,20130927
S00142,서울의 하이스트리트,김성순,디자인하우스,경제/경영,20250703
S00143,"몸, 내 안의 우주",남궁인,문학동네,과학,20250618
S00144,된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,컴퓨터/IT,20250604
S00145,잠자고 싶은  토끼,칼 요한 포셴 엘린,윌마,유아(0~7세),20250526
S00146,이로운 보수 의로운 진보,최강욱 외,한겨레출판사,정치/사회,20250515
S00147,왜 그들만 부자가 되는가,필립 바구스 외,북모먼트,경제/경영,20250108
S00148,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,이주윤,빅피시,인문,20241120
S00149,사피엔스,유발 하라리,김영사,인문,20230401
S00150,컨셉 언어 수업,호소다 다카히로,알에이치코리아,경제/경영,20250709
S00151,"아무튼, 리코더",황선우,코난북스,시/에세이,20250701
S00152,AI 전쟁 2.0,하정우 외,한빛비즈,경제/경영,20250630
S00153,아티스트 웨이,줄리아 카메론,위즈덤하우스,자기계발,20250626
S00154,디 에센셜 키워드: 정의의 사람들,알베르 카뮈,민음사,소설,20250324
S00155,침묵의 퍼레이드,히가시노 게이고,재인,소설,20250307
S00156,2025 해커스 전산회계 1급 이론+실무+최신기출 12회분+무료특강,이남호,해커스금융,컴퓨터/IT,20250102
S00157,두 사람의 인터내셔널,김기태,문학동네,소설,20240515
S00158,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,컴퓨터/IT,20230615
S00159,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),김상현,필름(Feelm),시/에세이,20220420
S00160,진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,컴퓨터/IT,20220215
S00161,꽃을 보듯 너를 본다,나태주,지혜,시/에세이,20201130
S00162,CEO의 다이어리,스티븐 바틀렛,윌북,자기계발,20250701
S00163,주식투자 필독서 40,차영주,센시오,경제/경영,20250630
S00164,테이블 포 투,에이모 토울스,현대문학,소설,20250624
S00165,탁월하게 서글픈 자의식,박참새,마음산책,시/에세이,20250620
S00166,화장품은 한국이 1등입니다,박종대,경향BP,경제/경영,20250604
S00167,나는 왜 아무것도 하기 싫을까,배종빈,포레스트북스,인문,20250514
S00168,별에게,안녕달,창비,유아(0~7세),20250325
S00169,처음부터 배우는 부동산 경매투자,엠제이(장재호),길벗,경제/경영,20241122
S00170,박태웅의 AI 강의 2025,박태웅,한빛비즈,경제/경영,20240930
S00171,삶을 견디는 기쁨(리커버:K),헤르만 헤세,문예춘추사,시/에세이,20240228
S00172,당신의 세계는 아직도 바다와 빗소리와 작약을 취급하는지,김경미,민음사,시/에세이,20230127
S00173,왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,소설,20221110
S00174,사랑의 기술,에리히 프롬,문예출판사,인문,20190901
S00175,아침 그리고 저녁,욘 포세,문학동네,소설,20190726
S00176,노르웨이의 숲,무라카미 하루키,민음사,소설,20170807
S00177,바다 100층짜리 집,이와이 도시오,북뱅크,유아(0~7세),20140925
S00178,브람스를 좋아하세요,프랑수아즈 사강,민음사,소설,20080502
S00179,도시 관측소,김세훈,책사람집,인문,20250711
S00180,잘 배운 다정함,맑음,저녁달,시/에세이,20250710
S00181,모든 일에는 다 순서가 있는 법,한근태,클라우드나인,자기계발,20250617
S00182,급류,정대건,민음사,소설,20250613
S00183,질문의 격,유선경,앤의서재,인문,20250525
S00184,2025 해커스 전산세무 2급 한권합격 이론+실무+최신기출 12회분+무료특강,이남호,해커스금융,컴퓨터/IT,20250429
S00185,제로 투 원(10주년 기념판),피터 틸 외,한국경제신문,경제/경영,20250418
S00186,긴키 지방의 어느 장소에 대하여,세스지 외,반타,소설,20250410
S00187,자유론,존 스튜어트 밀,책세상,인문,20250310
S00188,환율의 대전환,오건영,포레스트북스,경제/경영,20250228
S00189,2025 이기적 빅데이터분석기사 필기 기본서,나홍석 외,영진닷컴,컴퓨터/IT,20240801
S00190,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),패트릭 브링리,웅진지식하우스,시/에세이,20231124
S00191,주식투자 무작정 따라하기(2023),윤재수,길벗,경제/경영,20230130
S00192,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,민음인,경제/경영,20221028
S00193,거꾸로 읽는 세계사,유시민,돌베개,역사/문화,20211029
S00194,아주 작은 습관의 힘,제임스 클리어,비즈니스북스,자기계발,20190226
S00195,책문,김태완,현자의마을,역사/문화,20150615
S00196,"아들아, 미국주식 이렇게 하지 마라",이주택,위너스북,경제/경영,20250715
S00197,호수 모자,유경미,아소비책방,유아(0~7세),20250615
S00198,비전공자도 이해할 수 있는 챗GPT,박상길,비즈니스북스,과학,20250520
S00199,내 꿈에 가끔만 놀러와,고선경,문학동네,시/에세이,20250514
S00200,살아갈 날들을 위한 괴테의 시,김종원,퍼스트펭귄,자기계발,20250117
S00201,헌등사,다와다 요코,민음사,소설,20241206
S00202,길 위의 뇌,정세희,한스미디어,시/에세이,20241018
S00203,"2024 큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화(1, 2, 3급)",최태성,이투스북,인문,20240403
S00204,이처럼 사소한 것들,클레어 키건,다산책방,소설,20231127
S00205,설득의 심리학 1(20주년 기념 개정증보판),로버트 치알디니,21세기북스,자기계발,20230426
S00206,물고기는 존재하지 않는다,룰루 밀러,곰출판,과학,20211217
S00207,천 개의 파랑,천선란,허블,소설,20200819
S00208,스토너(초판본),존 윌리엄스,알에이치코리아,소설,20200624
S00209,소년과 두더지와 여우와 말,찰리 맥커시,상상의힘,시/에세이,20200420
S00210,소유냐 존재냐,에리히 프롬,까치,인문,20200203
S00211,바깥은 여름,김애란,문학동네,소설,20170628
S00212,너무 시끄러운 고독,보후밀 흐라발,문학동네,소설,20160708
S00213,멋진 신세계,올더스 헉슬리,소담출판사,소설,20150612
S00214,정의란 무엇인가,마이클 샌델,와이즈베리,인문,20141120
S00215,1984,조지 오웰,민음사,소설,20070330
S00216,2026 이기적 컴퓨터활용능력 1급 필기 기본서,홍태성 외,영진닷컴,컴퓨터/IT,20250720
S00217,최소한의 경제지표,치과아저씨(팀 연세덴트),한스미디어,경제/경영,20250709
S00218,오십에 읽는 논어,최종엽,유노북스,인문,20250604
S00219,불멸의 유전자,리처드 도킨스,을유문화사,과학,20250530
S00220,어른의 느슨함,와다 히데키,윌마,자기계발,20250509
S00221,기울어진 평등,토마 피케티 외,와이즈베리,인문,20250502
S00222,2025 에듀윌 산업안전기사 필기 한권끝장(이론편+기출문제편),최창률,에듀윌,기술/공학,20240725
S00223,여름을 열어보니 이야기가 웅크리고 있었지,김화진 외,스위밍꿀,소설,20240626
S00224,아비투스(양장특별판),도리스 메르틴,다산초당,인문,20230324
S00225,1984,조지 오웰,소담출판사,소설,20211208
S00226,여름 언덕에서 배운 것,안희연,창비,시/에세이,20200724
S00227,달러는 왜 비트코인을 싫어하는가,사이페딘 아모스,터닝포인트,경제/경영,20181210
S00228,2026 이기적 컴퓨터활용능력 2급 필기 기본서,홍태성 외,영진닷컴,컴퓨터/IT,20250720
S00229,부자들의 부동산 비밀노트,여운봉,네버기브업,경제/경영,20250710
S00230,"두 번의 사기탄핵, 진실은 터졌다",변희재,미디어워치,정치/사회,20250707
S00231,생물의 왕국,이정모,책과삶,과학,20250704
S00232,두 번의 계엄령 사이에서,김명인,돌베개,역사/문화,20250627
S00233,어떻게 어른이 되는가,엄성우,추수밭,인문,20250625
S00234,같이 읽자는 고백,김소영,이야기장수,시/에세이,20250617
S00235,Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,컴퓨터/IT,20250509
S00236,바움가트너,폴 오스터,열린책들,소설,20250430
S00237,격이 다른 마흔의 사소한 차이,클로이,딥앤와이드,인문,20250430
S00238,세법개론 1(2025),임상엽 외,상경사,경제/경영,20250310
S00239,세이노의 가르침(보급판),세이노,데이원,자기계발,20241227
S00240,2025 시나공 컴퓨터활용능력 1급 필기 기출문제집,길벗알앤디,길벗,컴퓨터/IT,20241118
S00241,2025 시나공 컴퓨터활용능력 2급 필기 기출문제집,길벗알앤디,길벗,컴퓨터/IT,20241118
S00242,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,인문,20241023
S00243,비전공자도 이해할 수 있는 AI 지식(10만부 기념 개정판),박상길,비즈니스북스,과학,20241022
S00244,2025 시나공 정보처리기능사 실기 기본서,길벗알앤디,길벗,컴퓨터/IT,20241014
S00245,대온실 수리 보고서,김금희,창비,소설,20241004
S00246,니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜(리커버 에디션),프리드리히 니체,하이스트,인문,20240322
S00247,타이탄의 도구들,팀 페리스,토네이도,자기계발,20240224
S00248,SQL 자격검정 실전문제,한국데이터산업진흥원,한국데이터산업진흥원,컴퓨터/IT,20231229
S00249,수박 수영장,안녕달,창비,유아(0~7세),20230112
S00250,미움받을 용기(200만 부 기념 스페셜 에디션),기시미 이치로 외,인플루엔셜,인문,20221228
S00251,어린 왕자(초판본)(1943년 오리지널 초판본 표지디자인),앙투안 생텍쥐페리,더스토리,소설,20211004
S00252,데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),데일 카네기,현대지성,자기계발,20210113
S00253,여름은 오래 그곳에 남아,마쓰이에 마사시,비채,소설,20160819
S00254,눈물을 마시는 새 세트,이영도,황금가지,소설,20140201
S00255,자기 앞의 생,에밀 아자르,문학동네,소설,20130124
S00256,인간 실격,다자이 오사무,민음사,소설,20120410
S00257,고도를 기다리며,사뮈엘 베케트,민음사,소설,20120220
S00258,희랍어 시간,한강,문학동네,소설,20111110
S00259,"메리 마블링 1, 2권(한정판)",펭키,학산문화사,만화,20250715
S00260,감정 사전,단춤,유유히,시/에세이,20250703
S00261,쉽게 배워 바로 돈 버는 부동산 경매 투자,당근자판기(김진옥),길벗,경제/경영,20250702
S00262,나이 들수록 행복해지는 인생의 태도에 관하여,글래디스 맥게리,부키,인문,20250620
S00263,과일: 여름이 긴 것은 수박을 많이 먹으라는 뜻이다,쩡찌,세미콜론,시/에세이,20250618
S00264,2026 시나공 컴퓨터활용능력 1급 필기 기본서,길벗알앤디,길벗,컴퓨터/IT,20250616
S00265,사나운 독립,최지현 외,무제(MUZE),시/에세이,20250616
S00266,쇼펜하우어 인생수업 2: 한 번뿐인 삶 이렇게 살아라,쇼펜하우어,하이스트,인문,20250613
S00267,매듭의 끝,정해연,현대문학,소설,20250528
S00268,손실은 짧게 수익은 길게,깡토,이레미디어,경제/경영,20250519
S00269,부서지는 아이들,애비게일 슈라이어,웅진지식하우스,인문,20250502
S00270,레클리스,로빈 허턴,도레미,역사/문화,20250420
S00271,내면소통 명상수업,김주환,인플루엔셜,인문,20250328
S00272,2025 시나공 정보처리기사 실기 기출문제집,길벗알앤디,길벗,컴퓨터/IT,20250120
S00273,"큰별쌤 최태성의 별별한국사 한국사능력검정시험 기본(4,5,6급)(2025,2026대비)",최태성,이투스북,인문,20241230
S00274,2025 해커스 전산회계 2급 이론+실무+최신기출+무료특강,이남호,해커스금융,컴퓨터/IT,20241211
S00275,비눗방울 퐁,이유리,민음사,소설,20241108
S00276,이별이 어려운 너에게 전하는 말,지민석,유음북스,시/에세이,20241022
S00277,어른의 기분 관리법,손힘찬(오가타 마리토) 외,어센딩,시/에세이,20240530
S00278,찌그러져도 동그라미입니다,김창완,웅진지식하우스,시/에세이,20240328
S00279,알사탕,백희나,스토리보울,유아(0~7세),20240321
S00280,불변의 법칙,모건 하우절,서삼독,경제/경영,20240228
S00281,마흔에 읽는 쇼펜하우어,강용수,유노북스,인문,20230907
S00282,최소한의 한국사,최태성,프런트페이지,역사/문화,20230621
S00283,세이노의 가르침(올블랙 유광 에디션),세이노(SayNo),데이원,자기계발,20230302
S00284,월가의 영웅,피터 린치 외,국일증권경제연구소,경제/경영,20210730
S00285,데미안(초판본)(1919년 오리지널 초판본 표지 디자인),헤르만 헤세,더스토리,소설,20200820
S00286,희망,양귀자,쓰다,소설,20200630
S00287,깊이에의 강요,파트리크 쥐스킨트,열린책들,소설,20200420
S00288,명상록,마르쿠스 아우렐리우스,현대지성,인문,20180402
S00289,달과 6펜스,서머싯 몸,민음사,소설,20000620
S00290,애정 행각,니키리 외,마음산책,시/에세이,20250630
S00291,커뮤니티에 입장하셨습니다,권성민,돌고래,정치/사회,20250625
S00292,괴수 8호 RELAX 2,Kizuku Watanabe,서울미디어코믹스(서울문화사),만화,20250625
S00293,귀신 저택,미야베 미유키,북스피어,소설,20250620
S00294,2025 퀵패스 AI 프롬프트 활용능력 1급,김유성 외,퀵패스,컴퓨터/IT,20250602
S00295,붙잡지 않는 삶,에크하르트 톨레,스노우폭스북스,시/에세이,20250529
S00296,순교자!,카베 악바르,은행나무,소설,20250523
S00297,사는 동안 틈틈이 행복합시다,박근호,히읏,시/에세이,20250514
S00298,실패를 성공으로 바꾸는 주식투자의 기술,정재호(부자아빠),프런트페이지,경제/경영,20250513
S00299,적절한 좌절,김경일 외,저녁달,인문,20250510
S00300,2025 직8딴 직접 8일 만에 딴 산업안전기사 필기,김진태,EHS MASTER,기술/공학,20250501
S00301,당신이 정말로 잘됐으면 하는 마음에,태오,부크럼,시/에세이,20250421
S00302,2025 해커스 한국사능력검정시험 심화(1 2 3급) 한권합격 + 빈출개념 압축노트 + 모의고사 4회분,해커스 한국사연구소,해커스한국사,인문,20250418
S00303,고독한 용의자,찬호께이,위즈덤하우스,소설,20250415
S00304,공간 인간,유현준,을유문화사,인문,20250320
S00305,2025 퀵패스 AI 프롬프트 활용능력 2급,AI 프롬프트 활용능력 연구소,퀵패스,컴퓨터/IT,20250310
S00306,싯다르타(초판본)(1922년 오리지널 초판본 표지디자인),헤르만 헤세,더스토리,소설,20250228
S00307,변신(초판본)(1916년 오리지널 초판본 표지디자인),프란츠 카프카,더스토리,소설,20250228
S00308,2025 수제비 정보처리기사 실기 Final 실전 모의고사,윤영빈 외,건기원,컴퓨터/IT,20250204
S00309,무의식은 어떻게 나를 설계하는가,데이비드 이글먼,알에이치코리아,과학,20241122
S00310,너를 미워할 시간에 나를 사랑하기로 했다,윤서진,스몰빅라이프,자기계발,20241111
S00311,더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,이주윤,빅피시,인문,20240807
S00312,찬란한 멸종,이정모,다산북스,과학,20240807
S00313,감정 호텔,리디아 브란코비치,책읽는곰,유아(0~7세),20240223
S00314,처음부터 시작하는 주식투자 단타전략,홍인기,길벗,경제/경영,20231222
S00315,대화의 정석,정흥수,피카(FIKA),자기계발,20231101
S00316,레버리지,롭 무어,다산북스,경제/경영,20230215
S00317,줬으면 그만이지(반양장),김주완,피플파워,시/에세이,20230101
